metadata.well.number,coordinate.long,coordinate,green.intensity,column,row
0,A01,A1,2046,1,1
12,B01,B1,2046,1,2
24,C01,C1,2046,1,3
36,D01,D1,2046,1,4
48,E01,E1,2046,1,5
60,F01,F1,2046,1,6
72,G01,G1,2046,1,7
84,H01,H1,2046,1,8
1,A02,A2,2046,2,1
13,B02,B2,2046,2,2
25,C02,C2,2046,2,3
37,D02,D2,2046,2,4
49,E02,E2,2046,2,5
61,F02,F2,2046,2,6
73,G02,G2,2046,2,7
85,H02,H2,2046,2,8
2,A03,A3,2387,3,1
14,B03,B3,2387,3,2
26,C03,C3,2387,3,3
38,D03,D3,2387,3,4
50,E03,E3,2387,3,5
62,F03,F3,2387,3,6
74,G03,G3,2387,3,7
86,H03,H3,2387,3,8
3,A04,A4,2387,4,1
15,B04,B4,2387,4,2
27,C04,C4,2387,4,3
39,D04,D4,2387,4,4
51,E04,E4,2387,4,5
63,F04,F4,2387,4,6
75,G04,G4,2387,4,7
87,H04,H4,2387,4,8
4,A05,A5,2728,5,1
16,B05,B5,2728,5,2
28,C05,C5,2728,5,3
40,D05,D5,2728,5,4
52,E05,E5,2728,5,5
64,F05,F5,2728,5,6
76,G05,G5,2728,5,7
88,H05,H5,2728,5,8
5,A06,A6,2728,6,1
17,B06,B6,2728,6,2
29,C06,C6,2728,6,3
41,D06,D6,2728,6,4
53,E06,E6,2728,6,5
65,F06,F6,2728,6,6
77,G06,G6,2728,6,7
89,H06,H6,2728,6,8
6,A07,A7,3069,7,1
18,B07,B7,3069,7,2
30,C07,C7,3069,7,3
42,D07,D7,3069,7,4
54,E07,E7,3069,7,5
66,F07,F7,3069,7,6
78,G07,G7,3069,7,7
90,H07,H7,3069,7,8
7,A08,A8,3069,8,1
19,B08,B8,3069,8,2
31,C08,C8,3069,8,3
43,D08,D8,3069,8,4
55,E08,E8,3069,8,5
67,F08,F8,3069,8,6
79,G08,G8,3069,8,7
91,H08,H8,3069,8,8
8,A09,A9,3410,9,1
20,B09,B9,3410,9,2
32,C09,C9,3410,9,3
44,D09,D9,3410,9,4
56,E09,E9,3410,9,5
68,F09,F9,3410,9,6
80,G09,G9,3410,9,7
92,H09,H9,3410,9,8
9,A10,A10,3410,10,1
21,B10,B10,3410,10,2
33,C10,C10,3410,10,3
45,D10,D10,3410,10,4
57,E10,E10,3410,10,5
69,F10,F10,3410,10,6
81,G10,G10,3410,10,7
93,H10,H10,3410,10,8
10,A11,A11,3751,11,1
22,B11,B11,3751,11,2
34,C11,C11,3751,11,3
46,D11,D11,3751,11,4
58,E11,E11,3751,11,5
70,F11,F11,3751,11,6
82,G11,G11,3751,11,7
94,H11,H11,3751,11,8
11,A12,A12,3751,12,1
23,B12,B12,3751,12,2
35,C12,C12,3751,12,3
47,D12,D12,3751,12,4
59,E12,E12,3751,12,5
71,F12,F12,3751,12,6
83,G12,G12,3751,12,7
95,H12,H12,3751,12,8
